,Cluster1,Cluster1,Cluster2,Cluster2,Cluster3,Cluster3,Cluster6,Cluster4,Cluster4,Cluster5,Cluster5,Cluster6,Cluster7,Cluster7,Cluster8
1,Afghanistan,Afghanistan,Albania,Albania,Algeria,Algeria,Belize,Argentina,Australia,Australia,Austria,Austria,Bhutan,Belize,Venezuela
2,Benin,Benin,Argentina,Bahrain,Angola,Angola,Jamaica,Armenia,Canada,Canada,Belgium,Belgium,"Hong Kong SAR, China",Bhutan,NA
3,Botswana,Burkina Faso,Armenia,Bosnia and Herzegovina,Burundi,Burundi,Malaysia,Azerbaijan,New Zealand,New Zealand,Denmark,Denmark,Laos,Jamaica,NA
4,Burkina Faso,Cameroon,Azerbaijan,Botswana,Central African Republic,Central African Republic,Trinidad and Tobago,Bangladesh,United States,United States,Finland,Finland,Libya,Laos,NA
5,Cameroon,Chad,Bahrain,Bulgaria,Haiti,Haiti,NA,Belarus,NA,NA,Germany,Germany,North Cyprus,Malaysia,NA
6,Chad,Congo (Brazzaville),Bangladesh,China,Lesotho,Lesotho,NA,Bolivia,NA,NA,Iceland,Iceland,Uzbekistan,Trinidad and Tobago,NA
7,Congo (Brazzaville),Congo (Kinshasa),Belarus,Croatia,Namibia,Namibia,NA,Brazil,NA,NA,Ireland,Ireland,Vietnam,NA,NA
8,Congo (Kinshasa),Ethiopia,Bolivia,Cyprus,Sudan,Sudan,NA,Cambodia,NA,NA,Luxembourg,Luxembourg,NA,NA,NA
9,Ethiopia,Gabon,Bosnia and Herzegovina,Czech Republic,Syria,Syria,NA,Chile,NA,NA,Malta,Malta,NA,NA,NA
10,Gabon,Ghana,Brazil,Egypt,NA,NA,NA,Colombia,NA,NA,Netherlands,Netherlands,NA,NA,NA
11,Ghana,Guinea,Bulgaria,Estonia,NA,NA,NA,Costa Rica,NA,NA,Norway,Norway,NA,NA,NA
12,Guinea,Ivory Coast,Cambodia,France,NA,NA,NA,Dominican Republic,NA,NA,Singapore,Singapore,NA,NA,NA
13,Iraq,Kenya,Chile,Greece,NA,NA,NA,Ecuador,NA,NA,Sweden,Sweden,NA,NA,NA
14,Ivory Coast,Lebanon,China,Hungary,NA,NA,NA,El Salvador,NA,NA,Switzerland,Switzerland,NA,NA,NA
15,Jordan,Liberia,Colombia,India,NA,NA,NA,Georgia,NA,NA,United Kingdom,United Arab Emirates,NA,NA,NA
16,Kenya,Madagascar,Costa Rica,Iran,NA,NA,NA,Guatemala,NA,NA,NA,United Kingdom,NA,NA,NA
17,Lebanon,Malawi,Croatia,Iraq,NA,NA,NA,Honduras,NA,NA,NA,Uzbekistan,NA,NA,NA
18,Liberia,Mali,Cyprus,Israel,NA,NA,NA,"Hong Kong SAR, China",NA,NA,NA,NA,NA,NA,NA
19,Madagascar,Mauritania,Czech Republic,Italy,NA,NA,NA,Indonesia,NA,NA,NA,NA,NA,NA,NA
20,Malawi,Morocco,Dominican Republic,Japan,NA,NA,NA,Kazakhstan,NA,NA,NA,NA,NA,NA,NA
21,Mali,Mozambique,Ecuador,Jordan,NA,NA,NA,Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA
22,Mauritania,Niger,Egypt,Kosovo,NA,NA,NA,Libya,NA,NA,NA,NA,NA,NA,NA
23,Morocco,Nigeria,El Salvador,Kuwait,NA,NA,NA,Mexico,NA,NA,NA,NA,NA,NA,NA
24,Mozambique,Palestinian Territories,Estonia,Latvia,NA,NA,NA,Moldova,NA,NA,NA,NA,NA,NA,NA
25,Niger,Rwanda,France,Lithuania,NA,NA,NA,Mongolia,NA,NA,NA,NA,NA,NA,NA
26,Nigeria,Senegal,Georgia,Macedonia,NA,NA,NA,Myanmar,NA,NA,NA,NA,NA,NA,NA
27,Palestinian Territories,Sierra Leone,Greece,Mauritius,NA,NA,NA,Nepal,NA,NA,NA,NA,NA,NA,NA
28,Rwanda,Somalia,Guatemala,Montenegro,NA,NA,NA,Nicaragua,NA,NA,NA,NA,NA,NA,NA
29,Senegal,South Sudan,Honduras,Pakistan,NA,NA,NA,North Cyprus,NA,NA,NA,NA,NA,NA,NA
30,Sierra Leone,Tanzania,Hungary,Poland,NA,NA,NA,Panama,NA,NA,NA,NA,NA,NA,NA
31,Somalia,Togo,India,Portugal,NA,NA,NA,Paraguay,NA,NA,NA,NA,NA,NA,NA
32,South Africa,Tunisia,Indonesia,Qatar,NA,NA,NA,Peru,NA,NA,NA,NA,NA,NA,NA
33,South Sudan,Uganda,Iran,Romania,NA,NA,NA,Philippines,NA,NA,NA,NA,NA,NA,NA
34,Tanzania,Yemen,Israel,Saudi Arabia,NA,NA,NA,Russia,NA,NA,NA,NA,NA,NA,NA
35,Togo,Zambia,Italy,Serbia,NA,NA,NA,Sri Lanka,NA,NA,NA,NA,NA,NA,NA
36,Tunisia,Zimbabwe,Japan,Slovakia,NA,NA,NA,Taiwan Province of China,NA,NA,NA,NA,NA,NA,NA
37,Uganda,NA,Kazakhstan,Slovenia,NA,NA,NA,Tajikistan,NA,NA,NA,NA,NA,NA,NA
38,Yemen,NA,Kosovo,South Africa,NA,NA,NA,Thailand,NA,NA,NA,NA,NA,NA,NA
39,Zambia,NA,Kuwait,South Korea,NA,NA,NA,Turkmenistan,NA,NA,NA,NA,NA,NA,NA
40,Zimbabwe,NA,Kyrgyzstan,Spain,NA,NA,NA,Ukraine,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,Latvia,Turkey,NA,NA,NA,Uruguay,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,Lithuania,NA,NA,NA,NA,Vietnam,NA,NA,NA,NA,NA,NA,NA
,NA,,Macedonia,,NA,,NA,,NA,,NA,,NA,,
,NA,,Mauritius,,NA,,NA,,NA,,NA,,NA,,
,NA,,Mexico,,NA,,NA,,NA,,NA,,NA,,
,NA,,Moldova,,NA,,NA,,NA,,NA,,NA,,
,NA,,Mongolia,,NA,,NA,,NA,,NA,,NA,,
,NA,,Montenegro,,NA,,NA,,NA,,NA,,NA,,
,NA,,Myanmar,,NA,,NA,,NA,,NA,,NA,,
,NA,,Nepal,,NA,,NA,,NA,,NA,,NA,,
,NA,,Nicaragua,,NA,,NA,,NA,,NA,,NA,,
,NA,,Pakistan,,NA,,NA,,NA,,NA,,NA,,
,NA,,Panama,,NA,,NA,,NA,,NA,,NA,,
,NA,,Paraguay,,NA,,NA,,NA,,NA,,NA,,
,NA,,Peru,,NA,,NA,,NA,,NA,,NA,,
,NA,,Philippines,,NA,,NA,,NA,,NA,,NA,,
,NA,,Poland,,NA,,NA,,NA,,NA,,NA,,
,NA,,Portugal,,NA,,NA,,NA,,NA,,NA,,
,NA,,Qatar,,NA,,NA,,NA,,NA,,NA,,
,NA,,Romania,,NA,,NA,,NA,,NA,,NA,,
,NA,,Russia,,NA,,NA,,NA,,NA,,NA,,
,NA,,Saudi Arabia,,NA,,NA,,NA,,NA,,NA,,
,NA,,Serbia,,NA,,NA,,NA,,NA,,NA,,
,NA,,Slovakia,,NA,,NA,,NA,,NA,,NA,,
,NA,,Slovenia,,NA,,NA,,NA,,NA,,NA,,
,NA,,South Korea,,NA,,NA,,NA,,NA,,NA,,
,NA,,Spain,,NA,,NA,,NA,,NA,,NA,,
,NA,,Sri Lanka,,NA,,NA,,NA,,NA,,NA,,
,NA,,Taiwan Province of China,,NA,,NA,,NA,,NA,,NA,,
,NA,,Tajikistan,,NA,,NA,,NA,,NA,,NA,,
,NA,,Thailand,,NA,,NA,,NA,,NA,,NA,,
,NA,,Turkey,,NA,,NA,,NA,,NA,,NA,,
,NA,,Turkmenistan,,NA,,NA,,NA,,NA,,NA,,
,NA,,Ukraine,,NA,,NA,,NA,,NA,,NA,,
,NA,,United Arab Emirates,,NA,,NA,,NA,,NA,,NA,,
,NA,,Uruguay,,NA,,NA,,NA,,NA,,NA,,
